,category,compatibility,name,price,rating,size,total_languages,price_category
0, Business, OS X 10.8  ,Awesome Templates - for Microsoft Word Edition,10,1.0, 125.1 MB,1,1
1, Business, OS X 10.11  ,BusyContacts,50,4.5, 12.6 MB,10,1
2, Business, OS X 10.7  ,DW Spectrum,0,2.3, 42 MB,1,0
3, Business, OS X 10.10  ,Contract Manager,5,1.0, 50.5 MB,3,1
4, Business, OS 10.13  ,CuteNote,0,0.0, 6.4 MB,2,0
5, Finance, OS X 10.11  ,FX Options,2,0.0, 3.4 MB,22,1
6, Productivity, OS 10.15  ,GTD task & to-do list,5,0.0, 6.8 MB,8,1
7, Education, OS X 10.6  ,Human Resources SPHR Exam Prep,8,5.0, 1.5 MB,1,1
8, Business, OS 10.14  ,HVAC Decoder,5,1.0, 5.2 MB,1,1
9, Business, OS X 10.9  ,ITSupportPanel,0,0.0, 125.5 KB,1,0
10, Business, OS X 10.10.0  ,KruxMetrix,0,0.0, 91.8 MB,50,0
11, Business, OS X 10.10  ,Luxriot EVO Thin Client,0,0.0, 17.6 MB,1,0
12, Business, OS X 10.11  ,Motivation Timer,2,0.0, 5 MB,1,1
13, Productivity, OS X 10.7  ,EZPunch Standard,20,5.0, 16 MB,0,1
14, Finance, OS X 10.7 or later,MyMoney Investments,65,2.0, 102.3 MB,1,1
15, Business, OS X 10.9  ,Nutshell,-1,3.8, 3.1 MB,1,0
16, Productivity, OS X 10.10  ,Outline your digital notebook,40,4.0, 47.8 MB,1,1
17, Reference, OS 10.12  ,OUP LawReader on proLibro,0,0.0, 15.6 MB,1,0
18, Business, OS X 10.10.0  ,Otixo,0,3.7, 66.5 MB,50,0
19, Utilities, OS X 10.10  ,Oscar,3,0.0, 4.4 MB,1,1
20, Business, OS X 10.11  ,OrgChart - Organization Chart,15,2.3, 13.6 MB,1,1
21, News, OS X 10.11  ,OrganizeX Essential,22,0.0, 24.7 MB,1,1
22, Education, OS X 10.9  ,Org Chart Maker,15,0.0, 68.7 MB,2,1
23, Business, OS X 10.9  ,Org Chart Designer Pro 2,10,3.3, 24.2 MB,1,1
24, Business, OS 10.13  ,Orders Visualizer,2,0.0, 5.8 MB,1,1
25, Business, OS X 10.7  ,Order Manager,90,4.5, 2.2 MB,6,1
26, Productivity, OS X 10.10  ,Orders,20,1.0, 4.4 MB,1,1
27, Productivity, OS X 10.10.0  ,Ora - Simple Task Management,0,3.8, 76.5 MB,1,0
28, Finance, OS X 10.10  ,Options,2,1.0, 2 MB,22,1
29, Business, OS X 10.6 or later,OpenEye Remote,0,2.1, 4 MB,2,0
30, Business, OS X 10.10.0  ,OnSIP,0,3.9, 210 MB,50,0
31, Graphics & Design, OS X 10.9  ,OnScreen Barcode Scanner,6,1.0, 1.3 MB,1,1
32, Developer Tools, OS X 10.9  ,OneTrack Bug Tracker,31,0.0, 6.7 MB,1,1
33, Productivity, OS 10.13  ,OneOffice i-Disk,0,0.0, 2.5 MB,2,0
34, Business, OS X 10.10  ,Onelog Mobile,-1,0.0, 297.6 KB,1,0
35, Business, OS X 10.10  ,OneDocs - For Office 365 Online and PDF tools,9,2.4, 912 KB,1,1
36, Business, OS X 10.6.6  ,Oneboard,0,3.5, 19 MB,0,0
37, Business, OS X 10.10  ,OnCore,0,0.0, 5.1 MB,1,0
38, Business, OS X 10.6.6 or later,On The Job,40,2.7, 4.7 MB,1,1
39, Business, OS X 10.7.4  ,On Site Backup,20,1.0, 19.6 MB,1,1
40, Business, OS 10.14  ,OmniPlan 3 Enterprise,400,0.0, 84.4 MB,11,1
41, Business, OS 10.14  ,OmniPlan 3,0,2.8, 84.8 MB,11,0
42, Productivity, OS 10.13  ,OmniOutliner 5,0,3.9, 39.8 MB,11,0
43, Graphics & Design, OS 10.14  ,OmniGraffle 7 Enterprise,250,0.0, 60.5 MB,11,1
44, Graphics & Design, OS 10.14  ,OmniGraffle 7,0,2.6, 61.2 MB,11,0
45, Productivity, OS 10.13.2  ,OmniFocus 3,0,3.9, 34.1 MB,11,0
46, Business, OS X 10.8  ,OLMConverter Plus,5,2.4, 469.6 KB,1,1
47, Utilities, OS X 10.7  ,OLM To PST Converter Ultimate - AppEd,49,1.0, 15 MB,1,1
