category,compatibility,languages,name,price,rating,size
 Business, OS X 10.8  , English,Awesome Templates - for Microsoft Word Edition,$9.99 ,1, 125.1 MB
 Business, OS X 10.11  ," English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Simplified Chinese, Spanish",BusyContacts,$49.99 ,4.5, 12.6 MB
 Business, OS X 10.7  , English,DW Spectrum,Free,2.3, 42 MB
 Business, OS X 10.10  ," English, Dutch, German",Contract Manager,$4.99 ,1, 50.5 MB
 Business, OS 10.13  ," English, Simplified Chinese",CuteNote,Free,, 6.4 MB
 Finance, OS X 10.11  ," English, Danish, Dutch, Finnish, French, German, Greek, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmí«l, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",FX Options,$1.99 ,, 3.4 MB
 Productivity, OS 10.15  ," English, French, German, Italian, Portuguese, Russian, Spanish, Ukrainian",GTD task & to-do list,$4.99 ,, 6.8 MB
 Education, OS X 10.6  , English,Human Resources SPHR Exam Prep,$7.99 ,5, 1.5 MB
 Business, OS 10.14  , English,HVAC Decoder,$4.99 ,1, 5.2 MB
 Business, OS X 10.9  , English,ITSupportPanel,Free,, 125.5 KB
 Business, OS X 10.10.0  ," English, Amharic, Arabic, Bengali, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Korean, Latvian, Lithuanian, Malay, Malayalam, Marathi, Norwegian Bokmí«l, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",KruxMetrix,Free,, 91.8 MB
 Business, OS X 10.10  , English,Luxriot EVO Thin Client,Free,, 17.6 MB
 Business, OS X 10.11  , English,Motivation Timer,$1.99 ,, 5 MB
 Productivity, OS X 10.7  ,,EZPunch Standard,$19.99 ,5, 16 MB
 Finance, OS X 10.7 or later, English,MyMoney Investments,$64.99 ,2, 102.3 MB
 Business, OS X 10.9  , English,Nutshell,,3.8, 3.1 MB
 Productivity, OS X 10.10  , English,Outline your digital notebook,$39.99 ,4, 47.8 MB
 Reference, OS 10.12  , English,OUP LawReader on proLibro,Free,, 15.6 MB
 Business, OS X 10.10.0  ," English, Amharic, Arabic, Bengali, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Korean, Latvian, Lithuanian, Malay, Malayalam, Marathi, Norwegian Bokmí«l, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Otixo,Free,3.7, 66.5 MB
 Utilities, OS X 10.10  , English,Oscar,$2.99 ,, 4.4 MB
 Business, OS X 10.11  , English,OrgChart - Organization Chart,$14.99 ,2.3, 13.6 MB
 News, OS X 10.11  , English,OrganizeX Essential,$21.99 ,, 24.7 MB
 Education, OS X 10.9  ," English, German",Org Chart Maker,$14.99 ,, 68.7 MB
 Business, OS X 10.9  , English,Org Chart Designer Pro 2,$9.99 ,3.3, 24.2 MB
 Business, OS 10.13  , English,Orders Visualizer,$1.99 ,, 5.8 MB
 Business, OS X 10.7  ," English, Czech, German, Italian, Portuguese, Spanish",Order Manager,$89.99 ,4.5, 2.2 MB
 Productivity, OS X 10.10  , English,Orders,$19.99 ,1, 4.4 MB
 Productivity, OS X 10.10.0  , English,Ora - Simple Task Management,Free,3.8, 76.5 MB
 Finance, OS X 10.10  ," English, Danish, Dutch, Finnish, French, German, Greek, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmí«l, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",Options,$1.99 ,1, 2 MB
 Business, OS X 10.6 or later," English, Korean",OpenEye Remote,Free,2.1, 4 MB
