category,compatibility,,name,price,rating,
 Photography, OS X 10.9  , English,AV for Photoshop CS6 206 - Creating HDR Photos,$13.99 ,1, 271.8 MB
 Graphics & Design, OS X 10.10  , English,Bump Distortion: Make funny distortions on your photos,$5.99 ,1, 7.5 MB
 Photography, OS X 10.6.6 , English,Course For Photoshop CS5 104 - Mastering Adobe Camera Raw 6,$13.99 ,, 356.9 MB
 Graphics & Design, OS X 10.8  ," English, Japanese",CutAround Extreme,$5.99 ,, 20.5 MB
 Photography, OS 10.14  , English,Dynamic Wallpaper Maker,Free,5, 7.7 MB
 Graphics & Design, OS 10.13  ," English, Simplified Chinese, Traditional Chinese",EZImageVectorizer,$6.99 ,, 24.1 MB
 Photography, OS X 10.8  , English,FX Photo Studio Pro,$24.99 ,3.7, 158.1 MB
 Social Networking, OS X 10.11  ," English, French, German, Italian, Japanese, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",Grids - For Instagram,,3.2, 20.3 MB
 Photography, OS 10.14  , English,HyperDither,$4.99 ,4.8, 4.3 MB
 Lifestyle, OS X 10.11  , English,Irvue,Free,4.9, 9.2 MB
 Photography, OS X 10.8  , English,JPEGmini Pro,$89.99 ,5, 7.6 MB
 Utilities, OS X 10.10  ," English, Simplified Chinese",Kopa Capture,Free,2, 3.8 MB
 Video, OS X 10.9  , English,LUTCalc,$2.99 ,5, 15.5 MB
 Photography, OS X 10.10  , English,MyMemes - Create Your Own Memes,$4.99 ,1.5, 5.1 MB
 Video, OS X 10.7  , English,NYC TimeLapse for iMovie and FCPX,$12.99 ,5, 575.9 MB
 Photography, OS X 10.11  , English,Photo Strip,$0.99 ,1, 10.9 MB
 Graphics & Design, OS X 10.11  , English,Overview,$3.99 ,, 7.7 MB
 Photography, OS X 10.6.5 , English,Photo Splash,$4.99 ,1, 12.4 MB
 Photography, OS X 10.8  , English,Photo Soap,$2.99 ,, 1.7 MB
 Photography, OS X 10.8  , English,Photo Slideshow-PhotoVideo DVD,$14.99 ,4, 32.1 MB
 Photography, OS X 10.8  , English,Photo Slideshow-Photo Video,Free,1.1, 32.1 MB
 Video, OS X 10.7  , English,Photo Slideshow-DVD Slideshow1,Free,1, 29.9 MB
 Video, OS X 10.7  , English,Photo Slideshow-DVD Slideshow,$19.99 ,3.5, 29.9 MB
 Photography, OS X 10.6 , English,Photo Slideshow Generator,$2.99 ,1, 506.5 KB
