category,compatibility,languages,name,price,rating,
 Video, OS 10.13  , English,Bulk Video Trim,$1.99 ,, 3.7 MB
 Video, OS X 10.6  , English,AVI-Converter,$7.99 ,2.8, 10.9 MB
 Video, OS X 10.6.6  , English,Cute Screen Recorder,$1.99 ,2.9, 10.9 MB
 Business, OS X 10.6  , English,DVRPlayerPlus,$9.99 ,1, 1.5 MB
 Music, OS X 10.10  , English,Frequency - Music Studio,$2.99 ,3, 1.4 MB
 Video, OS X 10.11  , English,Extract Video Clip Lite,Free,5, 19.3 MB
 Entertainment, OS 10.12  ," English, Arabic, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian BokmÌ´l, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",GSE SMART IPTV PRO,$5.99 ,4.2, 21.9 MB
 Video, OS X 10.9  , English,HTML5 Video Maker,$4.99 ,2, 22.1 MB
 Video, OS 10.13  , English,JustLetMeWatch,$4.99 ,, 3.6 MB
 Video, OS X 10.11  , English,Iris: Screen Recorder,Free,3, 4.7 MB
 Utilities, OS X 10.11  , English,KPlayer,$3.99 ,, 30.5 MB
 Video, OS X 10.10  , English,LU-Lite,Free,4, 1 MB
 Video, OS X 10.6  , English,My Player(Free),Free,1, 36.3 MB
 Video, OS X 10.7  , English,NYC TimeLapse for iMovie and FCPX,$12.99 ,5, 575.9 MB
 Video, OS X 10.9.0  , English,Overview and Quick Start Guide,Free,3.5, 181.4 MB
 Video, OS X 10.10.0  , English,Purple P3,Free,3.9, 25.4 MB
 Video, OS X 10.6.8 , English,Quickier - Retro Webcam Movie Recorder,Free,4, 215.7 KB
 Video, OS X 10.11  , English,Quick Video Slicer,$7.99 ,, 2.6 MB
 Video, OS 10.13  , English,Quick Sub,Free,, 11.4 MB
 Video, OS 10.12  , English,Quick Clip,Free,, 14.3 MB
 Video, OS X 10.11  , English,Quick Cinema,$14.99 ,5, 4.1 MB
 Video, OS 10.12  , English,QTAKE Monitor,Free,5, 7.3 MB
 Utilities, OS X 10.10  , English,Quick Camera,Free,4.6, 5.1 MB
 Video, OS X 10.7  , English,QPlayerX Free,Free,2.4, 14.6 MB
 Video, OS X 10.11  ," English, Simplified Chinese, Traditional Chinese",QQPlayer,Free,3, 18.9 MB
 Video, OS X 10.7  , English,QPlayerX,$9.99 ,4.5, 14.5 MB
